taxon,genus,genus.type,family,order,class,aggregate.subspecies,relative.species,synonim.genus,sibling.genus
Abies_alba,Abies,MONOPHYLETIC,Pinaceae,Pinales,Pinopsida,,,,
Abies_pinsapo,Abies,MONOPHYLETIC,Pinaceae,Pinales,Pinopsida,,,,
Acer_campestre,Acer,PARAPHYLETIC,Sapindaceae,Sapindales,Magnoliopsida,,,,
Acer_monspessulanum,Acer,PARAPHYLETIC,Sapindaceae,Sapindales,Magnoliopsida,,,,
Acer_granatense,Acer,PARAPHYLETIC,Sapindaceae,Sapindales,Magnoliopsida,,,,
Acer_opalus,Acer,PARAPHYLETIC,Sapindaceae,Sapindales,Magnoliopsida,,,,
Acer_platanoides,Acer,PARAPHYLETIC,Sapindaceae,Sapindales,Magnoliopsida,,,,
Acer_pseudoplatanus,Acer,PARAPHYLETIC,Sapindaceae,Sapindales,Magnoliopsida,,,,
Achillea_ageratum,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Achillea_ceretanica,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Achillea_chamaemelifolia,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Achillea_millefolium,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Achillea_odorata,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Achillea_pyrenaica,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Achillea_santolinoides,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Achillea_tomentosa,Achillea,PARAPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Stipa_bromoides,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_calamagrostis,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Hypochaeris_rutea,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Hypochaeris_achyrophorus,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Clinopodium_alpinum,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Clinopodium_acinos,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Clinopodium_graveolens_ssp._rotundifolium,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Actaea_spicata,Actaea,SINGLETON GENUS,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Adenocarpus_anisochilus,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_argyrophyllus,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_aureus,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_complicatus,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_decorticans,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_desertorum,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_gibbsianus,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_hispanicus,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_lainzii,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenocarpus_telonensis,Adenocarpus,SINGLETON GENUS,Fabaceae,Fabales,Magnoliopsida,,,,
Adenostyles_alliariae,Adenostyles,SINGLETON GENUS,Asteraceae,Asterales,Magnoliopsida,,,,
Adenostyles_alpina_ssp._pyrenaica,Adenostyles,SINGLETON GENUS,Asteraceae,Asterales,Magnoliopsida,,,,
Adiantum_capillus-veneris,Adiantum,SINGLETON GENUS,Pteridaceae,Polypodiales,Polypodiopsida,,,,
Adonis_aestivalis,Adonis,MONOPHYLETIC,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Adonis_aestivalis_ssp._squarrosa,Adonis,MONOPHYLETIC,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Adonis_annua,Adonis,MONOPHYLETIC,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Adonis_flammea,Adonis,MONOPHYLETIC,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Adonis_microcarpa,Adonis,MONOPHYLETIC,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Adonis_pyrenaica,Adonis,MONOPHYLETIC,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Adonis_vernalis,Adonis,MONOPHYLETIC,Ranunculaceae,Ranunculales,Magnoliopsida,,,,
Clinopodium_grandiflorum,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Clinopodium_nepeta,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Clinopodium_menthifolium,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Clinopodium_rouyanum,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Stipa_gigantea,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Clinopodium_vulgare,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Hypochaeris_glabra,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Hypochaeris_radicata_ssp._platylepis,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Hypochaeris_radicata_ssp._radicata,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Hypochaeris_radicata_ssp._rocinensis,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Hypochaeris_salzmanniana,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Clinopodium_serpyllifolium_ssp._fruticosum,Clinopodium,MONOPHYLETIC,Lamiaceae,Lamiales,Magnoliopsida,,,,
Stipa_barbata,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_capensis,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_capillata,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_iberica,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_juncea,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_lagascae,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_offneri,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_parviflora,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Stipa_tenacissima,Stipa,MONOPHYLETIC,Poaceae,Poales,Magnoliopsida,,,,
Hypochaeris_maculata,Hypochaeris,MONOPHYLETIC,Asteraceae,Asterales,Magnoliopsida,,,,
Pinus_pinaster,Pinus,NOT INCLUDED,Pinaceae,Pinales,Pinopsida,,,,
Pinus_pinea,Pinus,NOT INCLUDED,Pinaceae,Pinales,Pinopsida,,,,
